Title,Description,Keywords,Dataset Type,Collection Period,Organism,Genes,Tissue/Cell Type,Condition,Technique,Instrument Platform,Software,Usage Restrictions,Related Datasets
DYRK1A Interacts with the Tuberous Sclerosis Complex and Promotes mTORC1 Activity,"DYRK1A, a ubiquitously expressed kinase, is linked to the dominant intellectual developmental disorder, microcephaly and Down syndrome in humans. It regulates numerous cellular processes such as cell cycle, vesicle trafficking and microtubule assembly. DYRK1A is a critical regulator of organ growth; however, how it regulates organ growth is not fully understood. Here, we show that the knockdown of DYRK1A results in reduced cell size, which depends on mTORC1. Using proteomic approaches, we found that DYRK1A interacts with the Tuberous sclerosis complex (TSC) proteins, namely TSC1 and TSC2, which negatively regulate mTORC1 activation. Further, we show that DYRK1A phosphorylates TSC2 at T1462, a modification known to inhibit TSC activity and promote mTORC1 activity. We also found that the reduced cell growth upon knockdown of DYRK1A can be rescued by overexpression of RHEB, an activator of mTORC1. Our findings suggest that DYRK1A inhibits TSC complex activity through inhibitory phosphorylation on TSC2, thereby promoting mTORC1 activity. Further, using the Drosophila neuromuscular junction as a model, we show that the mnb, the fly homologues of DYRK1A, is rescued by RHEB overexpression, suggesting a conserved role of DYRK1A in TORC1 regulation.","['sclerosis', 'mtorc1', 'dyrk1a', 'interacts', 'promotes', 'kinase', 'sclerosis', 'neuromuscular', 'drosophila', 'phosphorylation', 'molecular biology']",,2024-06-20,,,,,,,,cc_by_nc_nd,
"PP1β opposes classic PP1 function, inhibiting spine maturation and promoting LTP","Protein phosphatase 1 (PP1) regulates synaptic plasticity and has been described as a molecular constraint on learning and memory. There are three neuronal isoforms, PP1, PP1{beta}, and PP1{gamma}, but little is known about their individual functions. PP1 and PP1{gamma} are assumed to mediate the effects of PP1 on learning and memory based on their enrichment at dendritic spines and their preferential binding to neurabin and spinophilin, major PP1 synaptic scaffolding proteins. However, it was recently discovered that human de novo PP1{beta} mutations cause intellectual disability, suggesting an important but ill-defined role for PP1{beta}. In this study, we investigated the functions of each PP1 isoform in hippocampal synaptic physiology using conditional CA1-specific knockout mice. In stark contrast to classic PP1 function, we found that PP1{beta} promotes synaptic plasticity as well as spatial memory. These changes in synaptic plasticity and memory are accompanied by changes in GluA1 phosphorylation, GluN2A levels, and dendritic spine density and morphology, including silent synapse number. These functions of PP1{beta} reveal a previously unidentified signaling pathway regulating spine maturation and plasticity, broadening our understanding of the complex role of PP1 in synaptic physiology.","['opposes', 'inhibiting', 'pp1β', 'spine', 'ltp', 'hippocampal', 'molecular', 'protein', 'proteins', 'phosphorylation', 'neuroscience']",,2024-06-24,,,,,,,,cc_no,
"The LCLAT1/LYCAT acyltransferase is required for EGF-mediated phosphatidylinositol-3,4,5-trisphosphate generation and Akt signalling","Receptor tyrosine kinases such as epidermal growth factor receptor (EGFR) stimulate phosphoinositide 3-kinases (PI3Ks) to convert phosphatidylinositol-4,5-bisphosophate [PtdIns(4,5)P2] into phosphatidylinositol-3,4,5-trisphosphate [PtdIns(3,4,5)P3]. PtdIns(3,4,5)P3 then remodels actin and gene expression, and boosts cell survival and proliferation. PtdIns(3,4,5)P3 partly achieves these functions by triggering activation of the kinase Akt, which phosphorylates targets like Tsc2 and GSK3{beta}. Consequently, unchecked upregulation of PtdIns(3,4,5)P3-Akt signalling promotes tumour progression. Interestingly, 50-70% of PtdIns and PtdInsPs have stearate and arachidonate at sn-1 and sn-2 positions of glycerol, respectively, forming a species known as 38:4-PtdIns/PtdInsPs. LCLAT1 and MBOAT7 acyltransferases partly enrich PtdIns in this acyl format. We previously showed that disruption of LCLAT1 lowered PtdIns(4,5)P2 levels and perturbed endocytosis and endocytic trafficking. However, the role of LCLAT1 in receptor tyrosine kinase and PtdIns(3,4,5)P3 signaling was not explored. Here, we show that LCLAT1 silencing in MDA-MB-231 and ARPE-19 cells abated the levels of PtdIns(3,4,5)P3 in response to EGF signalling. Importantly, LCLAT1-silenced cells were also impaired for EGF-driven and insulin-driven Akt activation and downstream signalling. Thus, our work provides first evidence that the LCLAT1 acyltransferase is required for receptor tyrosine kinase signalling.","['acyltransferase', 'phosphatidylinositol', 'trisphosphate', 'egf', 'lclat1', 'kinases', 'phosphatidylinositol', 'kinase', 'phosphoinositide', 'phosphorylates', 'cell biology']",,2024-06-26,,,,,,,,cc_by_nc_nd,
The effectiveness of selection in a species affects the direction of amino acid frequency evolution,"Nearly neutral theory predicts that species with higher effective population size (Ne) are better able to purge slightly deleterious mutations. We compare evolution in high-Ne vs. low-Ne vertebrates to reveal which amino acid frequencies are subject to subtle selective preferences. We take three complementary approaches, two measuring flux and one measuring outcomes. First, we fit non-stationary substitution models of amino acid flux using maximum likelihood, comparing the high-Ne clade of rodents and lagomorphs to its low-Ne sister clade of primates and colugos. Second, we compare evolutionary outcomes across a wider range of vertebrates, via correlations between amino acid frequencies and Ne. Third, we dissect the details of flux in human, chimpanzee, mouse, and rat, as scored by parsimony - this also enables comparison to a historical paper. All three methods agree on which amino acids are preferred under more effective selection. Preferred amino acids tend to be smaller, less costly to synthesize, and to promote intrinsic structural disorder. Parsimony-induced bias in the historical study produces an apparent reduction in structural disorder, perhaps driven by slightly deleterious substitutions. Within highly exchangeable pairs of amino acids, arginine is strongly preferred over lysine, and valine over isoleucine, consistent with more effective selection preferring a marginally larger free energy of folding. These two preferences match differences between thermophiles and mesophilic relatives. These results reveal the biophysical consequences of mutation-selection-drift balance, and demonstrate the utility of nearly neutral theory for understanding protein evolution.

Significance statementAccording to the nearly neutral theory of molecular evolution, selection is less able to distinguish between similar alleles in species with lower population size. We identify which amino acids are subject to such weak preferences - these tend to be smaller, to be less costly to make, to promote structural disorder of proteins, and to be enriched in thermophiles relative to mesophiles. The latter agrees with theories of marginal protein stability under mutation-selection-drift balance.","['affects', 'evolution', 'selection', 'amino', 'frequency', 'chimpanzee', 'primates', 'evolutionary', 'alleles', 'rodents', 'evolutionary biology']",,2024-06-22,,,,,,,,cc_by_nc_nd,
Signal Integration and Adaptive Sensory Diversity Tuning in Escherichia coli Chemotaxis,"In uncertain environments, phenotypic diversity can be advantageous for survival. However, as the environmental uncertainty decreases, the relative advantage of having diverse phenotypes decreases. Here, we show how populations of E. coli integrate multiple chemical signals to adjust sensory diversity in response to changes in the prevalence of each ligand in the environment. Measuring kinase activity in single cells, we quantified the sensitivity distribution to various chemoattractants in different mixtures of background stimuli. We found that when ligands bind uncompetitively, the population tunes sensory diversity to each signal independently, decreasing diversity when the signal ambient concentration increases. However, amongst competitive ligands the population can only decrease sensory diversity one ligand at a time. Mathematical modeling suggests that sensory diversity tuning benefits E. coli populations by modulating how many cells are committed to tracking each signal proportionally as their prevalence changes.","['escherichia', 'coli', 'chemotaxis', 'tuning', 'integration', 'kinase', 'chemoattractants', 'phenotypes', 'coli', 'phenotypic', 'systems biology']",,2024-06-21,,,,,,,,cc_no,
Signal Integration and Adaptive Sensory Diversity Tuning in Escherichia coli Chemotaxis,"In uncertain environments, phenotypic diversity can be advantageous for survival. However, as the environmental uncertainty decreases, the relative advantage of having diverse phenotypes decreases. Here, we show how populations of E. coli integrate multiple chemical signals to adjust sensory diversity in response to changes in the prevalence of each ligand in the environment. Measuring kinase activity in single cells, we quantified the sensitivity distribution to various chemoattractants in different mixtures of background stimuli. We found that when ligands bind uncompetitively, the population tunes sensory diversity to each signal independently, decreasing diversity when the signal ambient concentration increases. However, amongst competitive ligands the population can only decrease sensory diversity one ligand at a time. Mathematical modeling suggests that sensory diversity tuning benefits E. coli populations by modulating how many cells are committed to tracking each signal proportionally as their prevalence changes.","['escherichia', 'coli', 'chemotaxis', 'tuning', 'integration', 'kinase', 'chemoattractants', 'phenotypes', 'coli', 'phenotypic', 'systems biology']",,2024-06-24,,,,,,,,cc_no,
Unified bursting strategies in ectopic and endogenous even-skipped expression patterns,"Transcription often occurs in bursts as gene promoters switch stochastically between active and inactive states. Enhancers can dictate transcriptional activity in animal development through the modulation of burst frequency, duration, or amplitude. Previous studies observed that different enhancers can achieve a wide range of transcriptional outputs through the same strategies of bursting control. For example, despite responding to different transcription factors, all even-skipped enhancers increase transcription by upregulating burst frequency and amplitude while burst duration remains largely constant. These shared bursting strategies suggest that a unified molecular mechanism constraints how enhancers modulate transcriptional output. Alternatively, different enhancers could have converged on the same bursting control strategy because of natural selection favoring one of these particular strategies. To distinguish between these two scenarios, we compared transcriptional bursting between endogenous and ectopic gene expression patterns. Because enhancers act under different regulatory inputs in ectopic patterns, dissimilar bursting control strategies between endogenous and ectopic patterns would suggest that enhancers adapted their bursting strategies to their trans-regulatory environment. Here, we generated ectopic even-skipped transcription patterns in fruit fly embryos and discovered that bursting strategies remain consistent in endogenous and ectopic even-skipped expression. These results provide evidence for a unified molecular mechanism shaping even-skipped bursting strategies and serve as a starting point to uncover the realm of strategies employed by other enhancers.","['bursting', 'unified', 'ectopic', 'patterns', 'skipped', 'upregulating', 'bursts', 'bursting', 'enhancers', 'increase', 'developmental biology']",,2024-06-25,,,,,,,,cc_by,
Somatodendritic orientation determines tDCS-induced neuromodulation of Purkinje cell activity in awake mice.,"Transcranial direct-current stimulation (tDCS) of the cerebellum is a promising non-invasive neuromodulatory technique being proposed for the treatment of neurological and neuropsychiatric disorders. However, there is a lack of knowledge about how externally applied currents affect neuronal spiking activity in cerebellar circuits in vivo. We investigated how Cb-tDCS affects the firing rate of Purkinje cells (PC) and non-PC in the mouse cerebellar cortex to understand the underlying mechanisms behind the polarity-dependent modulation of neuronal activity induced by tDCS.

Mice (n = 9) were prepared for the chronic recording of LFPs to assess the actual electric field gradient imposed by Cb-tDCS in our experimental design. Single-neuron extracellular recording of PCs in awake (n = 24) and anesthetized (n = 27) mice was combined with juxtacellular recordings and subsequent staining of PC with neurobiotin under anesthesia (n = 8) to correlate their neuronal orientation with their response to Cb-tDCS. Finally, a high-density Neuropixels recording system was used to demonstrate the relevance of neuronal orientation during the application of Cb-tDCS in awake mice (n = 6).

In this study, we observe that Cb-tDCS induces a heterogeneous polarity-dependent modulation of the firing rate of Purkinje cells (PC) and non-PC in the mouse cerebellar cortex. We demonstrate that the apparently heterogeneous effects of tDCS on PC activity can be explained by taking into account the somatodendritic orientation relative to the electric field. Our findings highlight the need to consider neuronal orientation and morphology to improve tDCS computational models, enhance stimulation protocol reliability, and optimize effects in both basic and clinical applications.","['neuromodulation', 'mice', 'cell', 'awake', 'tdcs', 'neuropsychiatric', 'neuropixels', 'neuromodulatory', 'neurobiotin', 'neurological', 'neuroscience']",,2024-06-21,,,,,,,,cc_by_nc_nd,
A Novel C. elegans Memory Type Mediated by an Insulin/Phospholipase C Pathway,"Memories are often categorized into types, reflecting their behavioral, anatomical and molecular diversity: these classifications both aid understanding of the differences among varieties of memory and help delineate the unifying cross-species principles underlying them. In the nematode worm Caenorhabditis elegans, we find that an associative memory of the pairing of the normally attractive odorant benzaldehyde and starvation depends on de novo translation, is independent of CREB, and is produced by massed training: a pattern which does not correspond to any of the well-characterized molecular categories of invertebrate memory. Further, as has been shown for many memories in vertebrates, but not previously in nematodes, we find that formation of this memory continues after removal of the stimuli initially causing it, and that it is labile to disruption through protein synthesis inhibition following training, but that inhibition of proteasomal activity does not extend the duration of the memory. Previous findings have implicated insulin pathway signaling, which canonically regulates the transcription factor DAF- 16, as a key component of this benzaldehyde/starvation memory, however our results suggest that transcriptional inhibition has, at most, only moderate effects on memory formation. We find that insulin signaling instead acts to regulate phospholipase C, which in turn regulates memory through diacylglycerol signaling. These findings better characterize this model associative memory in relation to other invertebrate memory types and identify ways in which it both shares their traits and differs from them, as well as revealing a more complete picture of the molecular pathway underlying it.","['insulin', 'phospholipase', 'novel', 'elegans', 'memory', 'worm', 'caenorhabditis', 'diacylglycerol', 'insulin', 'protein', 'neuroscience']",,2024-06-20,,,,,,,,cc_by_nc_nd,
An Ensemble Metabolome-Epigenome Interaction Network Identifies Metabolite Modulators of Epigenetic Drugs,"Metabolites such as acetyl-CoA and citrate play an important moonlighting role by influencing the levels of histone post-translational modifications (PTMs) and regulating gene expression. This cross talk between metabolism and epigenome impacts numerous biological processes including development and tumorigenesis. However, the extent of moonlighting activities of cellular metabolites in modulating the epigenome is unknown. We developed a data-driven screen to discover moonlighting metabolites by constructing a histone PTM-metabolite interaction network using global chromatin profiles, metabolomics, and epigenetic drug sensitivity data from over 600 cell lines. Our ensemble statistical learning approach uncovered metabolites that are predictive of histone PTM levels and epigenetic drug sensitivity. We experimentally validated synergistic and antagonistic interactions between histone deacetylase and demethylase inhibitors with epigenetic metabolites kynurenic acid, pantothenate, and 1-methylnicotinamide. We apply our approach to track metaboloepigenetic interactions during the epithelial-mesenchymal transition. Overall, our data-driven approach unveils a broader range of metaboloepigenetic interactions than anticipated from previous studies, with implications for reversing aberrant epigenetic alterations and enhancing epigenetic therapies through diet.","['drugs', 'metabolite', 'metabolome', 'modulators', 'ensemble', 'metabolomics', 'tumorigenesis', 'moonlighting', 'chromatin', 'metaboloepigenetic', 'systems biology']",,2024-06-21,,,,,,,,cc_by_nc_nd,
Comparative analysis of amphibian genomes: an emerging resource for basic and applied research,"Amphibians are the most threatened group of vertebrates and are in dire need of conservation intervention to ensure their continued survival. They exhibit unique features including a high diversity of reproductive strategies, permeable and specialized skin capable of producing toxins and antimicrobial compounds, multiple genetic mechanisms of sex determination, and in some lineages, the ability to regenerate limbs and organs. Although genomics approaches would shed light on these unique traits and aid conservation, sequencing and assembly of amphibian genomes has lagged behind other taxa due to their comparatively large genome sizes. Fortunately, the development of long-read sequencing technologies and initiatives has led to a recent burst of new amphibian genome assemblies. Although growing, the field of amphibian genomics suffers from the lack of annotation resources, tools for working with challenging genomes, and lack of high-quality assemblies in multiple clades of amphibians. Here we analyze 51 publicly available amphibian genomes to evaluate their usefulness for functional genomics research. We report considerable variation in genome assembly quality and completeness, and report some of the highest transposable element and repeat contents of any vertebrate. Additionally, we detected an association between transposable element content and climatic variables. Our analysis provides evidence of conserved genome synteny despite the long divergence times of this group, but we also highlight inconsistencies in chromosome naming and orientation across genome assemblies. We discuss sequencing gaps in the phylogeny and suggest key targets for future sequencing endeavors. Finally, we propose increased investment in amphibian genomics research to promote their conservation.","['genomes', 'research', 'amphibian', 'analysis', 'comparative', 'amphibians', 'toxins', 'amphibian', 'threatened', 'inconsistencies', 'genomics']",,2024-06-27,,,,,,,,cc_by_nc_nd,
Mechanistic home range capture-recapture models for the estimation of population density and landscape connectivity,"Spatial capture-recapture models (SCRs) provide an integrative statistical tool for analyzing animal movement and population patterns. Although incorporating home range formation with a theoretical basis of animal movement into SCRs can improve the prediction of animal space use in a heterogeneous landscape, this approach is challenging owing to the sparseness of recapture events.

In this study, we developed an advection-diffusion capture-recapture model (ADCR), which is an extension of SCRs incorporating home range formation with advection-diffusion formalism, providing a new framework to estimate population density and landscape permeability. we tested the unbiasedness of the estimator using simulated capture-recapture data generated by a step selection function. We also compared accuracy of population density estimates and home range shapes with those from an SCR incorporating the least-cost path. In addition, ADCR was applied to real dataset of Asiatic black bear (Ursus thibetanus) in Japan to demonstrate the capacity of the ADCR to detect geographical barriers that constrain animal movements.

Population density, permeability, and home range estimates of ADCR were unbiased over randomly determined sets of true parameters. Although the accuracy of density estimates by ADCR was nearly identical to those of existing models, the home range shape could be predicted more accurately by ADCR than by an SCR incorporating the least-cost path. For the application to bear dataset, ADCR could detect the effect of water body as a barrier of movement which is consistent with previous population genetic studies.

ADCR provides unique opportunities to elucidate both individual- and population-level ecological processes from capture-recapture data. By offering a formal link with step selection functions to estimate animal movement, it is suitable for simultaneously modeling with capture-recapture data and animal movement data. This study provides a basis for studies of the interplay between animal movement processes and population patterns.","['estimation', 'capture', 'mechanistic', 'landscape', 'home', 'genetic', 'theoretical', 'challenging', 'bear', 'study', 'ecology']",,2024-06-21,,,,,,,,cc_by_nc_nd,
CXCR4 blockade alleviates pulmonary and cardiac outcomes in early COPD,"Chronic obstructive pulmonary disease (COPD) is a prevalent respiratory disease lacking effective treatment. Focusing on early COPD should help to discover disease modifying therapies. We aimed to examine the role of the CXCL12/CXCR4 axis in early COPD from both human samples and murine models. Blood samples and lung tissues of early COPD patients and controls were obtained in order to analyse CXCL12 and CXCR4 levels. To generate an early COPD model, ten-week-old male C57BL/6J mice were exposed to cigarette smoke (CS) for 10 weeks and intranasal instillations of polyinosinic-polycytidylic acid (poly(I:C)) for the last 5 weeks to mimic exacerbations. CXCR4 expressing cells number was increased in the blood of patients with COPD, as well as in the blood of exposed mice. Lung CXCL12 expression was higher in both early COPD patients and exposed mice. Exposed mice presented mild airway obstruction, peri-bronchial fibrosis and right heart thickening. The density of fibrocytes expressing CXCR4 was increased in the bronchial submucosa of these mice. Conditional inactivation of CXCR4 at adult stage as well as pharmacological inhibition of CXCR4 with plerixafor injections improved lung function, reduced inflammation, and protected against CS and poly-(I:C)-induced airway and cardiac remodeling. CXCR4-/- and plerixafor-treated mice also had less CXCR4-expressing circulating cells and a lower density of peri-bronchial fibrocytes. We demonstrate that targeting CXCR4 has beneficial effects in an animal model of early COPD and provide a framework to translate these preclinical findings to clinical settings in a drug repurposing approach.","['cardiac', 'pulmonary', 'alleviates', 'outcomes', 'cxcr4', 'fibrosis', 'disease', 'inflammation', 'pulmonary', 'cardiac', 'pathology']",,2024-06-26,,,,,,,,cc_no,
Impact of Phosphorylation on the Physiological Form of Human alpha-Synuclein in Aqueous Solution,"Serine 129 can be phosphorylated in pathological inclusions formed by the intrinsically disordered protein human -synuclein (AS), a key player in Parkinsons disease and other synucleinopathies. Here, molecular simulations provide insight into the structural ensemble of phosphorylated AS. The simulations suggest that phosphorylation does not impact the structural content of the physiological AS conformational ensemble in aqueous solution, as the phosphate group is mostly solvated. The hydrophobic region of AS contains {beta}-hairpin structures, which may increase the propensity of the protein to undergo amyloid formation, as seen in the non-physiological (non-acetylated) form of the protein in a recent molecular simulation study. Our findings are consistent with existing experimental data, with the caveat of the observed limitations of the force field for the phosphorylated moiety.



O_FIG O_LINKSMALLFIG WIDTH=200 HEIGHT=111 SRC=""FIGDIR/small/531864v4_ufig1.gif"" ALT=""Figure 1"">
View larger version (24K):
org.highwire.dtl.DTLVardef@e36978org.highwire.dtl.DTLVardef@216690org.highwire.dtl.DTLVardef@d4813corg.highwire.dtl.DTLVardef@170b292_HPS_FORMAT_FIGEXP  M_FIG C_FIG","['phosphorylation', 'physiological', 'synuclein', 'aqueous', 'human', 'parkinsons', 'protein', 'amyloid', 'phosphorylated', 'phosphorylation', 'biophysics']",,2024-06-25,,,,,,,,cc_no,
Testing for differences in polygenic scores in the presence of confounding,"Polygenic scores have become an important tool in human genetics, enabling the prediction of individuals' phenotypes from their genotypes. Understanding how the pattern of differences in polygenic score predictions across individuals intersects with variation in ancestry can provide insights into the evolutionary forces acting on the trait in question, and is important for understanding health disparities. However, because most polygenic scores are computed using effect estimates from population samples, they are susceptible to confounding by both genetic and environmental effects that are correlated with ancestry. The extent to which this confounding drives patterns in the distribution of polygenic scores depends on patterns of population structure in both the original estimation panel and in the prediction/test panel. Here, we use theory from population and statistical genetics, together with simulations, to study the procedure of testing for an association between polygenic scores and axes of ancestry variation in the presence of confounding. We use a general model of genetic relatedness to describe how confounding in the estimation panel biases the distribution of polygenic scores in a way that depends on the degree of overlap in population structure between panels. We then show how this confounding can bias tests for associations between polygenic scores and important axes of ancestry variation in the test panel. Specifically, for any given test, there exists a single axis of population structure in the GWAS panel that needs to be controlled for in order to protect the test. Based on this result, we propose a new approach for directly estimating this axis of population structure in the GWAS panel. We then use simulations to compare the performance of this approach to the standard approach in which the principal components of the GWAS panel genotypes are used to control for stratification.","['confounding', 'polygenic', 'differences', 'testing', 'scores', 'genetics', 'genetic', 'phenotypes', 'polygenic', 'genotypes', 'genetics']",,2024-06-26,,,,,,,,cc_by,
Remembering what is relevant: how is goal-directed memory reactivation supported by attentional selection?,"Goal-directed memory reactivation involves retrieving the most relevant information for the current behavioral goal. Previous research has linked this process to activations in the fronto-parietal network, but the underlying selection mechanisms remain poorly understood. The current electroencephalogram (EEG) study investigates attention as a possible mechanism supporting goal-directed retrieval. Participants learned associations between objects and two screen locations in an episodic long-term memory experiment. In a following phase, we changed the relevance of some locations to simulate goal-directed retrieval. This was subsequently contrasted to a control condition, in which the original associations remained unchanged. Behavior performance measured during final retrieval revealed faster and more confident responses in the selective vs. neutral condition. At the EEG level, we found significant differences in decoding accuracy, with above-chance effects in the selective cue condition but not in the neutral cue condition. Additionally, we observed a stronger posterior contralateral negativity and lateralized alpha power in the selective cue condition. Overall, these results suggest that attentional selection enhances task-relevant information accessibility, emphasizing its role in goal-directed memory retrieval.","['remembering', 'attentional', 'memory', 'selection', 'reactivation', 'retrieving', 'electroencephalogram', 'research', 'decoding', 'behavioral', 'neuroscience']",,2024-06-23,,,,,,,,cc_by_nd,
Effect of cell membrane tension on the lifetime and size of mature clathrin-coated pits and their spatial distribution,"Clathrin-mediated endocytosis is the most characterized pathway for cells to internalize diverse receptor-bound cargo, such as proteins, nanoparticles, and viruses. However, the effect of membrane tension on clathrin-coated pit (CCP) maturation remains inadequately characterized. This study aimed to determine the effect of membrane tension on CCP maturation both spatially and temporarily, which remains a controversial and elusive issue. We obtained the sizes and spatial distributions of CCPs by the structured illumination microscopy of fixed cells and observed CCP lifetimes in live cells by total internal reflection fluorescence microscopy. The processes of CCP maturation and abortion were reproduced numerically through Monte Carlo simulation. The results showed that the growth time of CCP was more reasonably proportional to its volume rather than its surface area. We further investigated the spatial distribution of the membrane tension and size of CCPs, finding a significant positive correlation between the membrane tension and the size of mature CCPs spatially. This indicates that the CCPs tend to enrich in the highest-tension region, especially the mature ones. These results agreed with our numerical prediction that the CCP structure grew larger to overcome a higher energy barrier caused by higher background cell membrane tension. Our findings enhance the understanding of CCP maturation dynamics and underscore the importance of membrane tension in regulating CCP development.","['membrane', 'cell', 'pits', 'size', 'coated', 'endocytosis', 'viruses', 'nanoparticles', 'controversial', 'microscopy', 'biophysics']",,2024-06-22,,,,,,,,cc_by_nc_nd,
Ras-dependent activation of BMAL2 regulates hypoxic metabolism in pancreatic cancer,"To identify drivers of malignancy in human pancreatic ductal adenocarcinoma (PDAC), we performed regulatory network analysis on a large collection of expression profiles from laser capture microdissected samples of PDAC and benign precursors. We discovered that BMAL2 plays a role in the initiation, progression, post resection survival, and KRAS activity in PDAC. Functional analysis of BMAL2 target genes led us to hypothe-size that it plays a role in regulating the response to hypoxia, a critical but poorly understood feature of PDAC physiology. Knockout of BMAL2 in multiple human PDAC cell lines revealed effects on viability and invasion, particularly under hypoxic conditions. Loss of BMAL2 also affected glycolysis and other metabolic processes. We found that BMAL2 directly regulates hypoxia-responsive target genes. We also found that BMAL2 is necessary for the stabilization of HIF1A upon exposure to hypoxia, but destabilizes HIF2A under hypoxia. These data demonstrate that BMAL2 is a master transcriptional regulator of hypoxia responses in PDAC and may serve as a long-sought molecular switch that distinguishes HIF1A- and HIF2A-dependent modes of hypoxic metabolism.

Statement of significanceWe provide a comprehensive portrait of the molecular drivers behind pancreatic cancer initiation, progression and outcome. We discover a new genetic regulator of metabolic responses to low oxygen environments, a key feature of pancreatic cancer biology. This protein, BMAL2, is a new driver of pancreatic cancer malignancy.","['cancer', 'pancreatic', 'metabolism', 'bmal2', 'activation', 'cancer', 'adenocarcinoma', 'pancreatic', 'glycolysis', 'genes', 'cancer biology']",,2024-06-22,,,,,,,,cc_by_nc_nd,
Therapeutic targeting of ACLY in T-ALL in vivo,"T-cell Acute Lymphoblastic Leukemia (T-ALL) is a hematological malignancy in need of novel therapeutic approaches. Here, we identify the ATP-citrate lyase ACLY as overexpressed and as a novel therapeutic target in T-ALL. To test the effects of ACLY in leukemia progression, we developed an isogenic model of NOTCH1-induced Acly conditional knockout leukemia. Importantly, we observed intrinsic antileukemic effects upon loss of ACLY, which further synergized with NOTCH1 inhibition in vivo. Metabolomic profiling upon ACLY loss revealed a metabolic crisis with reduced acetyl-CoA levels, as well as a decreased oxygen consumption rate. Gene expression profiling analyses showed that the transcriptional signature of ACLY loss very significantly correlates with the signature of MYC loss in vivo. Mechanistically, the decrease in acetyl-CoA led to reduced H3K27ac levels in Myc, resulting in transcriptional downregulation of Myc and drastically reduced MYC protein levels. Interestingly, our analyses also revealed a reciprocal relationship whereby ACLY itself is a direct transcriptional target of MYC, thus establishing a feedforward loop that is important for leukemia progression. Overall, our results identified a relevant ACLY-MYC axis and unveiled ACLY as a novel promising target for T-ALL treatment.","['therapeutic', 'vivo', 'targeting', 'acly', 'leukemia', 'lymphoblastic', 'hematological', 'malignancy', 'h3k27ac', 'cancer biology']",,2024-06-20,,,,,,,,cc_no,
Microphase Separation Produces Interfacial Environment within Diblock Biomolecular Condensates,"The phase separation of intrinsically disordered proteins is emerging as an important mechanism for cellular organization. However, efforts to connect protein sequences to the physical properties of condensates, i.e., the molecular grammar, are hampered by a lack of effective approaches for probing high-resolution structural details. Using a combination of multiscale simulations and fluorescence lifetime imaging microscopy experiments, we systematically explored a series of systems consisting of diblock elastin-like polypeptides (ELP). The simulations succeeded in reproducing the variation of condensate stability upon amino acid substitution and revealed different microenvironments within a single condensate, which we verified with environmentally sensitive fluorophores. The interspersion of hydrophilic and hydrophobic residues and a lack of secondary structure formation result in an interfacial environment, which explains both the strong correlation between ELP condensate stability and interfacial hydrophobicity scales, as well as the prevalence of protein-water hydrogen bonds. Our study uncovers new mechanisms for condensate stability and organization that may be broadly applicable.","['biomolecular', 'microphase', 'condensates', 'interfacial', 'environment', 'microscopy', 'reproducing', 'molecular', 'disordered', 'simulations', 'biophysics']",,2024-06-20,,,,,,,,cc_by_nc_nd,
When and why does motor preparation arise in recurrent neural network models of motor control?,"During delayed ballistic reaches, motor areas consistently display movement-specific activity patterns prior to movement onset. It is unclear why these patterns arise: while they have been proposed to seed an initial neural state from which the movement unfolds, recent experiments have uncovered the presence and necessity of ongoing inputs during movement, which may lessen the need for careful initialization. Here, we modelled the motor cortex as an input-driven dynamical system, and we asked what the optimal way to control this system to perform fast delayed reaches is. We find that delay-period inputs consistently arise in an optimally controlled model of M1. By studying a variety of network architectures, we could dissect and predict the situations in which it is beneficial for a network to prepare. Finally, we show that optimal input-driven control of neural dynamics gives rise to multiple phases of preparation during reach sequences, providing a novel explanation for experimentally observed features of monkey M1 activity in double reaching.","['neural', 'motor', 'network', 'preparation', 'control', 'neural', 'delayed', 'cortex', 'experimentally', 'preparation', 'neuroscience']",,2024-06-25,,,,,,,,cc_by,
Differentiation and Integration of Competing Memories: A Neural Network Model,"What determines when neural representations of memories move together (integrate) or apart (differentiate)? Classic supervised learning models posit that, when two stimuli predict similar outcomes, their representations should integrate. However, these models have recently been challenged by studies showing that pairing two stimuli with a shared associate can sometimes cause differentiation, depending on the parameters of the study and the brain region being examined. Here, we provide a purely unsupervised neural network model that can explain these and other related findings. The model can exhibit integration or differentiation depending on the amount of activity allowed to spread to competitors -- inactive memories are not modified, connections to moderately active competitors are weakened (leading to differentiation), and connections to highly active competitors are strengthened (leading to integration). The model also makes several novel predictions -- most importantly, that when differentiation occurs as a result of this unsupervised learning mechanism, it will be rapid and asymmetric, and it will give rise to anticorrelated representations in the region of the brain that is the source of the differentiation. Overall, these modeling results provide a computational explanation for a diverse set of seemingly contradictory empirical findings in the memory literature, as well as new insights into the dynamics at play during learning.","['neural', 'integration', 'memories', 'network', 'differentiation', 'neural', 'insights', 'memories', 'learning', 'integration', 'neuroscience']",,2024-06-25,,,,,,,,cc_by,
